solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;cap121;300;0,04;0;1,0;90287,2713175;90287,2713175;100;2550;5050;100;2549;5049;87865,5155;2741974,2;87865,5155;89198,8532;90287,2713;0,0;;;;2;10;;1;;
CBC;cap121;300;0,35;0;4;90287,27131749874;90287,27131749874;100;2550;5050;100;2549;5049;88906,582;98971,992;88906,582;;;;;;;;;;;;
CPLEX;cap121;600;0,05;0;0,0;90287,271317;90287,271317;100;2549;5049;100;2549;5049;0,0;41932400,0;0,0;90287,2713;90287,2713;0,05;;;;4;13;1;2;;
GUROBI;cap121;600;0,04;0;1,0;90287,2713175;90287,2713175;100;2550;5050;100;2549;5049;87865,5155;2741974,2;87865,5155;89198,8532;90287,2713;0,0;;;;2;10;;1;;
CBC;cap121;600;0,35;0;4;90287,27131749874;90287,27131749874;100;2550;5050;100;2549;5049;88906,582;98971,992;88906,582;;;;;;;;;;;;
CPLEX;cap122;120;0,06;0;0,0;109144,28919;109144,28919;100;2549;5049;100;2549;5049;0,0;42177400,0;0,0;109144,2892;109144,2892;0,06;;;;4;12;1;;;
GUROBI;cap122;120;0,05;0;1,0;109144,289186;109144,289186;100;2550;5050;100;2549;5049;105308,804;2881974,2;105308,804;108151,155;109144,28919;0,0;;;;3;10;1;2;;
CBC;cap122;120;2,02;0;10;109144,2891860626;109144,2891860626;100;2550;5050;100;2549;5049;106539,59;125521,26;106539,59;;;;;;;;;;;;
CPLEX;cap122;300;0,05;0;0,0;109144,28919;109144,28919;100;2549;5049;100;2549;5049;0,0;42177400,0;0,0;109144,2892;109144,2892;0,05;;;;4;12;1;;;
GUROBI;cap122;300;0,05;0;1,0;109144,289186;109144,289186;100;2550;5050;100;2549;5049;105308,804;2881974,2;105308,804;108151,155;109144,28919;0,0;;;;3;10;1;2;;
